abs,emi,plqy,em,smiles,solvent,reference(doi),source,tag,tag_name,solvent_num,split
,,,5.492760389026838,C#CCOc1ccc(-c2c3nc(c(-c4ccc(OCC#C)cc4)c4ccc([nH]4)c(-c4ccc(OCC#C)cc4)c4nc(c(-c5ccc(OCC#C)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,CC#N,,Epsilon,7,Porphyrin,2,Train
364.0,377.0,0.86,4.698970004336019,CCCC1(CCC)c2cc(-c3ccco3)ccc2-c2ccc(-c3ccco3)cc21,C1CCCCC1,10.1007/BF00723901,Deep4Chem,12,5n6,1,Train
,,,4.136720567156407,COc1cc(O)c2c(c1)C(=O)C1=C(C[C@@H](Cl)C(C)(C)O1)C2=O,CO,,Epsilon,9,Acridines,1,Train
,,,4.6180480967120925,COc1ccc(N(c2ccc(/C=C/[C]3C=CC(=C(c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)C=C3)cc2)c2ccc(OC)cc2)cc1,ClCCl,,Epsilon,6,Triphenylamine,2,Train
,,,5.221935599828005,CC1=C(CCC(=O)O)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C(C)OCCc1cccc(F)c1)c5C)C(C(C)OCCc1cccc(F)c1)=C4C)c(C)c3CCC(=O)O,CS(C)=O,,Epsilon,7,Porphyrin,1,Train
,,,0.6430576747066741,COc1cc(C)cc2c1C(=O)C1=C(O)CCC[C@@]1(C)O2,CC#N,,Epsilon,9,Acridines,1,Train
,,,5.139879086401237,Clc1c2ccccc2nc2ccccc12,CO,,Epsilon,9,Acridines,2,Train
,,,4.6200006423000675,C=CCC1=C(O)C(=O)c2c(ccc3c(C)c(C)cc(C)c23)C1=O,CCO,,Epsilon,8,PAHs,1,Train
426.0,459.0,0.54,4.58000068958904,CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n(c26)P1(=O)c1ccccc1)c3c45,CC#N,10.1021/acs.orglett.9b02332,Deep4Chem,8,PAHs,9,Train
332.0,,0.0,3.7041505168397992,Cc1cc(=O)oc2c1cc(Cl)c1occ(C)c12,C1CCCCC1,10.1016/j.jphotochem.2008.02.022,Deep4Chem,2,Coumarin,5,Train
,,,4.633468455579586,C=CCc1ccc(OC2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)c(OC)c1,CCOC(C)=O,,Epsilon,5,BODIPY,4,Train
,,,0.6548501096334555,COc1cc2c(=O)c3c(OC)cccc3oc2cc1O,CO,,Epsilon,9,Acridines,2,Train
,,,4.839685403333703,CCc1c(C)c2n(c1C=Cc1ccc(OC)cc1)[B-](F)(F)n1c(ccc1=C1C=CC=[S+]1)=C2,ClCCl,,Epsilon,5,BODIPY,1,Train
422.0,,,,CC1CC(C)(C)N(C)c2ccc(/C=C/c3ccc(C=C(C#N)C(=O)O)s3)cc21,CCO,10.1039/c3ra41583j,Dye aggregation,11,6p6,1,Train
385.0,493.0,0.04,4.827369273053825,CN(C)c1ccc(/C=C/c2ccnc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,ClCCl,10.1021/acs.joc.8b01653,Deep4Chem,13,6n6,7,Train
495.0,,,,S=C1CCCCC1,CCO,ISBN 978-3-540-93810-1,Deep4Chem,-1,,1,Train
422.0,534.0,,5.421603926869831,CC1(C)CC(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)=CC(=C(C#N)C#N)C1,c1ccccc1,10.1021/jo400116j,Deep4Chem,3,Carbazole,6,Train
403.0,508.0,0.2,3.99334803992326,c1csc(-c2nc3ccccc3c3cc4ccccn4c23)c1,CS(C)=O,10.1016/j.ejmech.2018.02.016,Deep4Chem,10,5p6,1,Train
596.0,625.0,0.21,5.021189299069938,COC(=O)/C(C#N)=c1\s/c(=c2/s/c(=C(/C#N)C(=O)OC)c3cc(-c4ccc(C(F)(F)F)cc4)sc23)c2sc(-c3ccc(C(F)(F)F)cc3)cc12,Cc1ccccc1,10.1021/jacs.5b03899,Deep4Chem,12,5n6,1,Train
,,,4.119981307304154,CCCc1c2nc(c(CCC)c3ccc([nH]3)c(CCC)c3nc(c(CCC)c4ccc1[nH]4)C=C3)C=C2,CO,,Epsilon,7,Porphyrin,3,Train
341.0,430.0,0.28,,CCOC(=O)c1cccc(N(C)C)c1,CC#N,10.1016/S0009-2614(99)00316-4,Deep4Chem,15,Benz,2,Train
356.0,451.0,0.48,,CC1(C)c2ccccc2N(c2ccc3c(c2)Oc2ccccc2S3(=O)=O)c2ccccc21,Cc1ccccc1,10.1002/adma.201506391,Deep4Chem,6,Triphenylamine,1,Train
,,,4.6344772701607315,COc1cccc2cc3c(c(OC)c12)C(=O)OC(=O)C3,CCO,,Epsilon,8,PAHs,1,Train
335.0,389.0,,4.209997296082369,COc1ccc(-n2nc(C#N)c(N3CCCC3)n2)cc1,CCCCCC,10.1016/j.dyepig.2016.08.015,Deep4Chem,12,5n6,6,Train
646.0,679.0,,,CCNc1ccc(NCC)c2c1C(=O)c1ccccc1C2=O,ClC(Cl)(Cl)Cl,10.1016/j.saa.2011.02.003,Deep4Chem,9,Acridines,13,Train
,,,4.389998422607333,CC1(C)OCC([C@H]2OC(C)(C)O[C@@H]2C(O)c2cc(O)c3c(c2O)C(=O)c2cccc(O)c2C3=O)O1,CO,,Epsilon,9,Acridines,1,Train
,,,5.222716471147583,Ic1ccc(C#Cc2cc3[nH]c2c(-c2ccccc2)c2nc(c(-c4ccccc4)c4ccc([nH]4)c(-c4ccccc4)c4nc(c3-c3ccccc3)C=C4)C=C2)cc1,ClCCl,,Epsilon,7,Porphyrin,1,Train
,,,4.769998053094421,CC(=O)Oc1c2c(c(OC(C)=O)c3ccccc13)OC(C)(C)CC2,CCO,,Epsilon,8,PAHs,1,Train
