abs,emi,plqy,em,smiles,solvent,reference(doi),source,tag,tag_name,solvent_num,_original_row_id,_canonical_smiles,_scaffold,external_test_source,split,source_group,source_file,_ae_pre_source_row,supplement_group,dataset,subset_or_state,source_status,std_stokes_shift_nm,std_epsilon,std_reference,std_reference_doi,assigned_scaffold,_ae_pre_merged_row,ae_pre_split
420.0,517.0,,4.0,COc1ccc(-c2cc(-c3ccc(C)cc3)nc3c(C#N)c(N4CCCC4)[nH]c(=N)c23)cc1,CC(C)=O,10.1016/S1386-1425(01)00616-3,Deep4Chem,11.0,6p6,7.0,23.0,COc1ccc(-c2cc(-c3ccc(C)cc3)nc3c(C#N)c(N4CCCC4)[nH]c(=N)c23)cc1,N=c1[nH]c(N2CCCC2)cc2nc(-c3ccccc3)cc(-c3ccccc3)c12,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,0,,,,,,,,,,0,calibration85
449.0,567.0,0.02,4.748188027006201,COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(C#N)C#N,ClC(Cl)Cl,10.1016/j.jphotochem.2019.112027,Deep4Chem,6.0,Triphenylamine,9.0,47.0,COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(C#N)C#N,c1ccc(N(c2ccccc2)c2ccccc2)cc1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,1,,,,,,,,,,1,calibration85
419.0,540.0,,,CN(C)c1ccc(/C=C/C(=O)c2ccc(Cl)cc2)cc1,CC#N,10.1016/j.optmat.2017.12.034,Deep4Chem,13.0,6n6,10.0,56.0,CN(C)c1ccc(/C=C/C(=O)c2ccc(Cl)cc2)cc1,O=C(/C=C/c1ccccc1)c1ccccc1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,2,,,,,,,,,,2,calibration85
,,,4.079181246047625,Nc1ccc2nc(Cc3ccccc3)c(=O)oc2c1,CCO,,Epsilon,2.0,Coumarin,1.0,70.0,Nc1ccc2nc(Cc3ccccc3)c(=O)oc2c1,O=c1oc2ccccc2nc1Cc1ccccc1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,3,,,,,,,,,,3,calibration85
528.0,550.0,,,CCOC(=O)CCCCCn1c2ccccc2c(=O)c2cc3c(cc21)c(=O)c1ccccc1n3CC,CO,10.1023/B%3AJOFL.0000016287.56322.eb,Deep4Chem,9.0,Acridines,1.0,75.0,CCOC(=O)CCCCCn1c2ccccc2c(=O)c2cc3c(cc21)c(=O)c1ccccc1n3CC,O=c1c2ccccc2[nH]c2cc3c(=O)c4ccccc4[nH]c3cc12,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,4,,,,,,,,,,4,calibration85
283.0,391.0,0.09,4.139879086401237,COc1ccc(C2=C(c3ccc(OC)cc3)C(C)(C)c3ccccc32)cc1,C1CCCCC1,10.1016/j.tet.2012.01.093,Deep4Chem,10.0,5p6,1.0,104.0,COc1ccc(C2=C(c3ccc(OC)cc3)C(C)(C)c3ccccc32)cc1,c1ccc(C2=C(c3ccccc3)c3ccccc3C2)cc1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,5,,,,,,,,,,5,calibration85
557.0,,,,CCCCCC(CC)COc1ccc(-c2ccc(/C(=C\c3ccc(N4c5ccc(-c6ncc(-c7ccc(/C=C(\C#N)C(=O)O)s7)c7nccnc67)cc5C5CCCC54)cc3)c3ccc(-c4ccc(OCC(CC)CCCCC)cc4OC(CC)CCCCC)cc3)cc2)c(OCC(CC)CCCCC)c1,ClCCl,10.1002/ajoc.201500451,Dye aggregation,10.0,5p6,1.0,110.0,CCCCCC(CC)COc1ccc(-c2ccc(/C(=C\c3ccc(N4c5ccc(-c6ncc(-c7ccc(/C=C(\C#N)C(=O)O)s7)c7nccnc67)cc5C5CCCC54)cc3)c3ccc(-c4ccc(OCC(CC)CCCCC)cc4OC(CC)CCCCC)cc3)cc2)c(OCC(CC)CCCCC)c1,C(=C(c1ccc(-c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1)c1ccc(N2c3ccc(-c4ncc(-c5cccs5)c5nccnc45)cc3C3CCCC32)cc1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,6,,,,,,,,,,6,calibration85
,,,4.060660073974015,CCOC(=O)C(C#N)=CC1=C2Oc3cc(O)c(Cl)cc3C(c3ccccc3C(=O)O)=C2CCC1,CC(C)=O,,Epsilon,2.0,Coumarin,7.0,140.0,CCOC(=O)C(C#N)=CC1=C2Oc3cc(O)c(Cl)cc3C(c3ccccc3C(=O)O)=C2CCC1,C1=C2Oc3ccccc3C(c3ccccc3)=C2CCC1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,7,,,,,,,,,,7,calibration85
,,,4.569993887567447,COc1cc(Cc2cccc(OC)c2C(=O)O)c(OC)c2c1CCC=C2,CCO,,Epsilon,11.0,6p6,1.0,142.0,COc1cc(Cc2cccc(OC)c2C(=O)O)c(OC)c2c1CCC=C2,C1=Cc2cc(Cc3ccccc3)ccc2CC1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,8,,,,,,,,,,8,calibration85
701.0,770.0,0.2,,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2C1=C(c1ccc(C#CCO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1)c1c(C)cc(/C=C/c3ccc(N(C)C)cc3)n1[B-]2(F)F,CC#N,10.1016/j.dyepig.2014.05.022,BODIPY,5.0,BODIPY,1.0,149.0,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2C1=C(c1ccc(C#CCO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1)c1c(C)cc(/C=C/c3ccc(N(C)C)cc3)n1[B-]2(F)F,[BH2-]1n2c(/C=C/c3ccccc3)ccc2C(c2ccc(C#CCO[C@H]3CCCCO3)cc2)=C2C=CC(/C=C/c3ccccc3)=[N+]12,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,9,,,,,,,,,,9,calibration85
,,,4.500003068051694,O=C(Cc1ccccc1)c1ccc(OCc2ccccc2)c(Cc2ccccc2)c1O,CO,,Epsilon,13.0,6n6,1.0,167.0,O=C(Cc1ccccc1)c1ccc(OCc2ccccc2)c(Cc2ccccc2)c1O,O=C(Cc1ccccc1)c1ccc(OCc2ccccc2)c(Cc2ccccc2)c1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,10,,,,,,,,,,10,calibration85
495.0,,,,CCCCCCc1cc(-c2ccc3c(c2)Sc2cc(-c4cc(CCCCCC)c(/C=C(\C#N)C(=O)O)s4)ccc2N3c2ccc(/C(=C/c3ccccc3)c3ccccc3)cc2)sc1/C=C(\C#N)C(=O)O,C1CCOC1,10.1039/C9TA09025H,Dye aggregation,6.0,Triphenylamine,1.0,170.0,CCCCCCc1cc(-c2ccc3c(c2)Sc2cc(-c4cc(CCCCCC)c(/C=C(\C#N)C(=O)O)s4)ccc2N3c2ccc(/C(=C/c3ccccc3)c3ccccc3)cc2)sc1/C=C(\C#N)C(=O)O,C(=C(\c1ccccc1)c1ccc(N2c3ccc(-c4cccs4)cc3Sc3cc(-c4cccs4)ccc32)cc1)\c1ccccc1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,11,,,,,,,,,,11,calibration85
,,,4.991226075692495,CN(C)c1ccc(/C=C/c2ccc3c(ccc4ccccc43)[o+]2)cc1,ClCCl,,Epsilon,8.0,PAHs,2.0,186.0,CN(C)c1ccc(/C=C/c2ccc3c(ccc4ccccc43)[o+]2)cc1,C(=C/c1ccc2c(ccc3ccccc32)[o+]1)\c1ccccc1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,12,,,,,,,,,,12,calibration85
,,,5.199996384969702,Cc1ccc(/N=N/c2ccc(/C=C/[C+]3C=CC(=C(c4ccccc4)c4ccccc4)C=C3)cc2)cc1,O=C(O)C(F)(F)F,,Epsilon,13.0,6n6,1.0,206.0,Cc1ccc(/N=N/c2ccc(/C=C/[C+]3C=CC(=C(c4ccccc4)c4ccccc4)C=C3)cc2)cc1,C1=C[C+](/C=C/c2ccc(/N=N/c3ccccc3)cc2)C=CC1=C(c1ccccc1)c1ccccc1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,13,,,,,,,,,,13,calibration85
,,,4.329987387278803,CCCc1cc(O)cc(O)c1C(=O)c1c(O)cc(O)cc1Cc1cc(O)cc(=O)o1,CO,,Epsilon,13.0,6n6,1.0,207.0,CCCc1cc(O)cc(O)c1C(=O)c1c(O)cc(O)cc1Cc1cc(O)cc(=O)o1,O=C(c1ccccc1)c1ccccc1Cc1cccc(=O)o1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,14,,,,,,,,,,14,calibration85
,,,0.6483599923663023,C=C1CC[C@@H]2[C@@](C)(C(=O)O)CCC[C@@]2(C)[C@@H]1C/C=C(\C)[C@@H]1CCc2c(O)c(CC3=C(O)C(C)(C)C(O)=C(C(C)=O)C3=O)c(O)c(C(=O)CCC)c2O1,CCO,,Epsilon,11.0,6p6,1.0,220.0,C=C1CC[C@H]2[C@@](C)(CCC[C@]2(C)C(=O)O)[C@@H]1C/C=C(\C)[C@@H]1CCc2c(O)c(CC3=C(O)C(C)(C)C(O)=C(C(C)=O)C3=O)c(O)c(C(=O)CCC)c2O1,C=C1CC[C@@H]2CCCCC2[C@@H]1CC=C[C@@H]1CCc2cc(CC3=CCC=CC3=O)ccc2O1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,16,,,,,,,,,,15,calibration85
405.5,479.0,,4.732499907723219,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,"Fluorophores,10.1021/j100248a024","Deep4Chem,ChemFluo,PhotochemCAD",2.0,Coumarin,2.0,222.0,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,O=c1oc2ccccc2cc1-c1nc2ccccc2[nH]1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,17,,,,,,,,,,16,calibration85
703.0,,,,CCCCCCCCN1/C(=C/C2/C(=C(/C#N)C(=O)OCC)C(=CC3=[N+](CCCCCCCC)c4cccc(C(=O)O)c4C3(C)C)C2[O-])C(C)(C)c2cc(C(=O)O)ccc21,CCO,10.1039/C7SE00362E,Dye aggregation,10.0,5p6,1.0,229.0,CCCCCCCCN1/C(=C/C2/C(=C(/C#N)C(=O)OCC)C(=CC3=[N+](CCCCCCCC)c4cccc(C(=O)O)c4C3(C)C)C2[O-])C(C)(C)c2cc(C(=O)O)ccc21,C=C1C(=CC2=[NH+]c3ccccc3C2)CC1/C=C1\Cc2ccccc2N1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,18,,,,,,,,,,17,calibration85
,,,4.340007617996673,CC=C1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCc1ccc(OC(=O)C[C@@H]2C(C(=O)OC)=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)/C2=C/C)cc1,CO,,Epsilon,13.0,6n6,1.0,230.0,CC=C1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCc1ccc(OC(=O)C[C@@H]2C(C(=O)OC)=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)/C2=C/C)cc1,C=C1[C@H](O[C@H]2CCCCO2)OC=C[C@H]1CC(=O)OCCc1ccc(OC(=O)C[C@@H]2C=CO[C@@H](O[C@H]3CCCCO3)C2=C)cc1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,19,,,,,,,,,,18,calibration85
,,,4.639486489268586,Cc1sc(-c2ccc(O)c(C=Nc3ccc(-c4c5ccccc5nc5ccccc45)cc3)c2)cc1C1=C(c2cc(C#N)n(C)c2C)C(F)(F)C(F)(F)C1(F)F,CC#N,,Epsilon,9.0,Acridines,1.0,232.0,Cc1sc(-c2ccc(O)c(C=Nc3ccc(-c4c5ccccc5nc5ccccc45)cc3)c2)cc1C1=C(c2cc(C#N)n(C)c2C)C(F)(F)C(F)(F)C1(F)F,C(=Nc1ccc(-c2c3ccccc3nc3ccccc23)cc1)c1cccc(-c2cc(C3=C(c4cc[nH]c4)CCC3)cs2)c1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,20,,,,,,,,,,19,calibration85
513.0,539.0,0.01,,Cc1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cc(I)cc32)cc1,OC(F)(F)CF,10.1016/j.tet.2011.11.070,BODIPY,5.0,BODIPY,9.0,236.0,Cc1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cc(I)cc32)cc1,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC=[N+]12,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,21,,,,,,,,,,20,calibration85
570.0,742.0,0.02,4.484299839346786,CCCCCCOc1cc(N(CC)CC)ccc1/C=C(\C#N)c1ccc(/C=C/C(=C(C#N)C#N)c2ccc3c(c2)c2ccccc2n3CC)s1,ClCCl,10.1016/j.jphotochem.2018.12.035,Deep4Chem,3.0,Carbazole,1.0,242.0,CCCCCCOc1cc(N(CC)CC)ccc1/C=C(\C#N)c1ccc(/C=C/C(=C(C#N)C#N)c2ccc3c(c2)c2ccccc2n3CC)s1,C=C(/C=C/c1ccc(C=Cc2ccccc2)s1)c1ccc2[nH]c3ccccc3c2c1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,22,,,,,,,,,,21,calibration85
,,,4.235528446907549,C/C=C1\CC[C@H](OC(C)=O)C\C1=C\C=C1/CCC[C@]2(C)[C@@H](OC(=O)C(C)(C)C)CC[C@@H]12,CCOCC,,Epsilon,10.0,5p6,1.0,251.0,C/C=C1\CC[C@H](OC(C)=O)C\C1=C\C=C1/CCC[C@]2(C)[C@@H](OC(=O)C(C)(C)C)CC[C@@H]12,C=C1CCCC/C1=C/C=C1\CCCC2CCC[C@@H]12,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,23,,,,,,,,,,22,calibration85
391.0,433.0,0.61,,c1cnc(-c2c3ccccc3c(-c3cncnc3)c3ccccc23)nc1,CCO,10.1016/j.dyepig.2018.07.027,Deep4Chem,8.0,PAHs,2.0,259.0,c1cnc(-c2c3ccccc3c(-c3cncnc3)c3ccccc23)nc1,c1cnc(-c2c3ccccc3c(-c3cncnc3)c3ccccc23)nc1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,24,,,,,,,,,,23,calibration85
,,,4.271748699384171,CC(=O)Sc1ccc(C(c2ccc(I)cc2)(c2ccc(SC(C)=O)cc2)c2ccc(SC(C)=O)cc2)cc1,ClCCl,,Epsilon,13.0,6n6,1.0,264.0,CC(=O)Sc1ccc(C(c2ccc(I)cc2)(c2ccc(SC(C)=O)cc2)c2ccc(SC(C)=O)cc2)cc1,c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,26,,,,,,,,,,25,calibration85
