row_index,solute_max_tanimoto,solute_min_descriptor_distance,solute_scaffold_novel,solute_scaffold_similarity,solute_local_density,solute_scaffold_in_train_and_val,solute_scaffold_train_and_val_count,solute_top3_mean_tanimoto,solute_top5_mean_tanimoto,solute_neighbor_count_ge_0_5,solute_neighbor_count_ge_0_7,solute_neighbor_count_ge_0_8,solute_top1_top2_tanimoto_gap,solute_same_scaffold_neighbor_count_ge_0_5,solute_other_scaffold_neighbor_count_ge_0_5
0,1.0,999.0,0.0,1.0,0.0,1.0,37.0,0.9136106831022085,0.8617352782689032,7.0,6.0,3.0,0.07272727272727275,6.0,1.0
1,1.0,999.0,0.0,1.0,0.0,1.0,61.0,0.954954954954955,0.8059617757292177,10.0,3.0,3.0,0.0,3.0,7.0
2,1.0,999.0,0.0,1.0,0.0,1.0,65.0,0.8240740740740741,0.7598191214470285,12.0,4.0,1.0,0.25,4.0,8.0
3,0.6666666666666666,999.0,0.0,1.0,0.0,1.0,1.0,0.5674507707386617,0.5076945427107555,2.0,0.0,0.0,0.06201550387596899,1.0,1.0
4,0.9333333333333333,999.0,0.0,1.0,0.0,1.0,11.0,0.8367521367521368,0.792908424908425,27.0,8.0,2.0,0.12564102564102564,9.0,18.0
5,0.7222222222222222,999.0,0.0,1.0,0.0,1.0,1.0,0.6893593056383754,0.646173722917909,6.0,2.0,0.0,0.004273504273504258,1.0,5.0
6,0.5808823529411765,999.0,1.0,0.684931506849315,0.0,0.0,0.0,0.5715802068859039,0.559614790798209,15.0,0.0,0.0,0.013953219082908808,0.0,15.0
7,1.0,999.0,0.0,1.0,0.0,1.0,26.0,0.7966847498493067,0.7061650203401773,5.0,2.0,1.0,0.24285714285714288,4.0,1.0
8,0.3283582089552239,999.0,1.0,0.525,0.0,0.0,0.0,0.3248029598653528,0.3215317341481173,0.0,0.0,0.0,0.0004893564962075159,0.0,0.0
9,1.0,999.0,0.0,1.0,0.0,1.0,5.0,0.9481481481481482,0.857997799779978,14.0,6.0,3.0,0.0,5.0,9.0
10,0.7380952380952381,999.0,1.0,0.6382978723404256,0.0,0.0,0.0,0.6808217189314751,0.6453263646922184,7.0,1.0,0.0,0.07955865272938445,0.0,7.0
11,0.8611111111111112,999.0,1.0,0.7551020408163265,0.0,0.0,0.0,0.7733285233285233,0.7235209235209235,71.0,2.0,1.0,0.06890331890331891,0.0,71.0
12,1.0,999.0,0.0,1.0,0.0,1.0,5.0,0.8046296296296296,0.673931623931624,3.0,2.0,1.0,0.275,3.0,0.0
13,0.6829268292682927,999.0,1.0,0.7567567567567568,0.0,0.0,0.0,0.669839782320978,0.6597960020002068,11.0,0.0,0.0,0.008508224617129967,0.0,11.0
14,0.5384615384615384,999.0,0.0,1.0,0.0,1.0,2.0,0.5131185754136575,0.48227208037385194,2.0,0.0,0.0,0.029370629370629397,0.0,2.0
15,0.42696629213483145,999.0,1.0,0.4714285714285714,0.0,0.0,0.0,0.40184974096389176,0.3854970152541656,0.0,0.0,0.0,0.02881814398668331,0.0,0.0
16,1.0,999.0,0.0,1.0,0.0,1.0,14.0,0.7925571504518873,0.7125875818071826,16.0,2.0,1.0,0.23636363636363633,2.0,14.0
17,0.5765765765765766,999.0,1.0,0.58,0.0,0.0,0.0,0.5679473800041176,0.5550074457813113,5.0,0.0,0.0,0.0025025025025025016,0.0,5.0
18,0.9,999.0,1.0,0.8166666666666667,0.0,0.0,0.0,0.8727699530516432,0.8468549542871262,30.0,18.0,7.0,0.04084507042253527,0.0,30.0
19,0.34523809523809523,999.0,1.0,0.4074074074074074,0.0,0.0,0.0,0.3174638219530772,0.3062902589838122,0.0,0.0,0.0,0.028782399035563566,0.0,0.0
20,1.0,999.0,0.0,1.0,0.0,1.0,1098.0,0.8286524822695035,0.7652187002460559,35.0,3.0,1.0,0.23404255319148937,21.0,14.0
21,0.5161290322580645,999.0,1.0,0.6041666666666666,0.0,0.0,0.0,0.4952753339850114,0.47169077794876263,2.0,0.0,0.0,0.0009775171065493637,0.0,2.0
22,0.25301204819277107,999.0,1.0,0.2903225806451613,0.0,0.0,0.0,0.24590101980957538,0.23967146953384427,0.0,0.0,0.0,0.005821036956816017,0.0,0.0
23,1.0,999.0,0.0,1.0,0.0,1.0,1.0,0.795313881520778,0.7389920424403182,5.0,2.0,1.0,0.2692307692307693,1.0,4.0
24,0.8148148148148148,999.0,0.0,1.0,0.0,1.0,37.0,0.7192239858906525,0.6730381509328878,11.0,2.0,1.0,0.10052910052910047,5.0,6.0
25,0.6833333333333333,999.0,1.0,0.475,0.0,0.0,0.0,0.5593806921675775,0.4529744297933001,2.0,0.0,0.0,0.0,0.0,2.0
26,0.5192307692307693,999.0,1.0,0.7647058823529411,0.0,0.0,0.0,0.5158508158508158,0.5130830572935837,12.0,0.0,0.0,0.0,0.0,12.0
27,1.0,999.0,0.0,1.0,0.0,1.0,5.0,0.9367274250995181,0.8569570899803457,22.0,4.0,3.0,0.027027027027026973,3.0,19.0
28,1.0,999.0,0.0,1.0,0.0,1.0,5.0,0.98989898989899,0.9103573043871551,327.0,18.0,3.0,0.0,1.0,326.0
29,0.7142857142857143,999.0,1.0,0.5573770491803278,0.0,0.0,0.0,0.6904761904761904,0.6522539682539682,54.0,1.0,0.0,0.0357142857142857,0.0,54.0
30,0.6568627450980392,999.0,1.0,0.5306122448979592,0.0,0.0,0.0,0.6426435687543627,0.6228593683004461,22.0,0.0,0.0,0.0168627450980392,0.0,22.0
31,0.7894736842105263,999.0,0.0,1.0,0.0,1.0,1073.0,0.7662367124708324,0.7512674512113129,58.0,8.0,0.0,0.021616541353383423,43.0,15.0
32,1.0,999.0,0.0,1.0,0.0,1.0,1073.0,0.9610256410256411,0.9064183402804092,638.0,56.0,20.0,0.040000000000000036,349.0,289.0
33,0.8,999.0,0.0,1.0,0.0,1.0,646.0,0.7409749670619236,0.7111857707509881,47.0,2.0,1.0,0.07272727272727275,44.0,3.0
34,1.0,999.0,0.0,1.0,0.0,1.0,150.0,0.8159486016628875,0.6936507936507936,5.0,2.0,2.0,0.16326530612244894,5.0,0.0
35,0.5294117647058824,999.0,1.0,0.5294117647058824,0.0,0.0,0.0,0.47722246793454226,0.45386594829319293,1.0,0.0,0.0,0.055727554179566596,0.0,1.0
36,0.625,999.0,0.0,1.0,0.0,1.0,15.0,0.5843567251461989,0.5687609649122807,14.0,0.0,0.0,0.05833333333333335,4.0,10.0
37,0.75,999.0,0.0,1.0,0.0,1.0,3.0,0.7083333333333334,0.658091349062311,5.0,2.0,0.0,0.0,3.0,2.0
38,0.3058823529411765,999.0,1.0,0.42857142857142855,0.0,0.0,0.0,0.28628428521387783,0.269542273110555,0.0,0.0,0.0,0.02877391920623673,0.0,0.0
39,0.6521739130434783,999.0,1.0,0.7777777777777778,0.0,0.0,0.0,0.6353807223372441,0.6236526758265889,62.0,0.0,0.0,0.017253278122843385,0.0,62.0
40,0.6363636363636364,999.0,1.0,0.6363636363636364,0.0,0.0,0.0,0.5854545454545454,0.5613951762523192,6.0,0.0,0.0,0.0763636363636363,0.0,6.0
41,1.0,999.0,0.0,1.0,0.0,1.0,2.0,0.8469422043010754,0.7056256400409626,4.0,4.0,2.0,0.19354838709677424,1.0,3.0
42,1.0,999.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9140546006066735,259.0,12.0,4.0,0.0,0.0,259.0
43,1.0,999.0,1.0,1.0,0.0,0.0,0.0,0.8051282051282053,0.7661538461538463,12.0,6.0,1.0,0.29230769230769227,0.0,12.0
44,1.0,999.0,0.0,1.0,0.0,1.0,670.0,0.6666666666666666,0.5622807017543859,2.0,1.0,1.0,0.4864864864864865,1.0,1.0
